,contract_id,year,firm,bid,winning_bid,inflation_adjusted_bid,inflation_raw_milk_price_adjusted_bid,is_cartel_firm,only_cartels_bidding_on_contract,number_of_bidders_on_contract
45,88_045146,1988,LOUISTRAUTH,0.16,0,0.11234600262123197,0.045746002621231976,1,1,2
46,89_045146,1989,H.MEYER,0.1275,1,0.08598977183320221,0.015189771833202206,1,1,2
47,89_045146,1989,LOUISTRAUTH,0.17,0,0.11465302911093628,0.04385302911093628,1,1,2
48,90_045146,1990,H.MEYER,0.1657,1,0.1078660692588092,0.028166069258809205,1,1,1
49,81_045161,1981,SUPERIOR,0.122,1,0.11078220338983047,0.03388220338983049,0,0,2
50,81_045161,1981,BROOKFIELDDAIRY,0.1349,0,0.12249605932203388,0.04559605932203388,0,0,2
51,82_045161,1982,SUPERIOR,0.12,1,0.10172468354430378,0.02572468354430378,0,0,1
52,83_045161,1983,SUPERIOR,0.124,1,0.10044679644679644,0.024046796446796456,0,0,1
53,84_045161,1984,SUPERIOR,0.1277,1,0.09987631386861316,0.02577631386861315,0,0,3
54,84_045161,1984,BORDEN,0.1383,0,0.10816675182481754,0.03406675182481754,0,0,3
55,84_045161,1984,BROOKFIELDDAIRY,0.1313,0,0.10269193430656937,0.028591934306569356,0,0,3
56,85_045161,1985,BORDEN,0.1394,0,0.10533645980253878,0.034536459802538784,0,0,3
57,85_045161,1985,DEAN,0.1294,0,0.09778004231311706,0.026980042313117056,0,0,3
58,85_045161,1985,SUPERIOR,0.1288,1,0.09732665726375177,0.02652665726375175,0,0,3
59,86_045161,1986,DEAN,0.13,0,0.09603240261978628,0.026032402619786274,0,0,3
60,86_045161,1986,BORDEN,0.1333,0,0.09847014822475007,0.02847014822475008,0,0,3
61,86_045161,1986,SUPERIOR,0.1288,1,0.09514594967252672,0.025145949672526702,0,0,3
62,87_045161,1987,DEAN,0.128,1,0.09232716257152472,0.02222716257152474,0,0,2
63,87_045161,1987,BORDEN,0.1377,0,0.09932383036014808,0.02922383036014808,0,0,2
64,88_045161,1988,DEAN,0.1286,1,0.0902980996068152,0.0236980996068152,0,0,2
65,88_045161,1988,BORDEN,0.1346,0,0.0945110747051114,0.027911074705111397,0,0,2
66,89_045161,1989,DEAN,0.1299,1,0.08760840283241543,0.01680840283241541,0,0,2
67,89_045161,1989,BORDEN,0.1316,0,0.08875493312352478,0.01795493312352478,0,0,2
68,82_045179,1982,MEADOWGOLD,0.12,1,0.10172468354430378,0.02572468354430378,0,0,2
69,82_045179,1982,SUPERIOR,0.135,0,0.11444026898734175,0.038440268987341764,0,0,2
70,83_045179,1983,DAIRYFARM,0.12,1,0.09720657720657723,0.02080657720657722,0,0,3
71,83_045179,1983,SUPERIOR,0.14300000000000002,0,0.11583783783783785,0.03943783783783784,0,0,3
72,84_045179,1984,MEADOWGOLD,0.126,1,0.09854671532846716,0.024446715328467164,0,0,3
73,84_045179,1984,SUPERIOR,0.1332,0,0.10417795620437957,0.030077956204379582,0,0,3
74,84_045179,1984,UNITEDDAIRY,0.1285,0,0.10050200729927007,0.026402007299270086,0,0,3
75,85_045179,1985,MEADOWGOLD,0.13,1,0.09823342736248236,0.02743342736248236,0,0,3
76,85_045179,1985,SUPERIOR,0.1317,0,0.09951801833568406,0.028718018335684062,0,0,3
77,85_045179,1985,UNITEDDAIRY,0.1325,0,0.1001225317348378,0.0293225317348378,0,0,3
78,86_045179,1986,MEADOWGOLD,0.1095,1,0.08088883143743536,0.010888831437435352,0,0,3
79,86_045179,1986,SUPERIOR,0.1277,0,0.09433336780420544,0.024333367804205447,0,0,3
80,86_045179,1986,UNITEDDAIRY,0.11199999999999999,0,0.0827356084108928,0.012735608410892788,0,0,3
81,87_045179,1987,BORDEN,0.126,1,0.09088455065634468,0.020784550656344672,0,0,3
82,87_045179,1987,SUPERIOR,0.1356,0,0.097809087849209,0.027709087849209016,0,0,3
83,87_045179,1987,UNITEDDAIRY,0.1375,0,0.09917956916863008,0.029079569168630092,0,0,3
84,88_045179,1988,BORDEN,0.1365,0,0.09584518348623854,0.02924518348623853,0,0,3
85,88_045179,1988,REITER,0.1373,0,0.09640691349934467,0.02980691349934468,0,0,3
86,88_045179,1988,UNITEDDAIRY,0.13,1,0.09128112712975098,0.024681127129750968,0,0,3
87,89_045179,1989,BORDEN,0.1495,0,0.10082722265932337,0.03002722265932337,0,0,4
88,89_045179,1989,REITER,0.1588,0,0.1070994177812746,0.03629941778127459,0,0,4
89,89_045179,1989,UNITEDDAIRY,0.141,1,0.09509457120377654,0.024294571203776538,0,0,4
90,90_045179,1990,BORDEN,0.1438,1,0.09360978128797083,0.013909781287970838,0,0,4
91,90_045179,1990,BROUGHTON,0.155,0,0.10090066828675576,0.021200668286755764,0,0,4
92,90_045179,1990,REITER,0.1656,0,0.10780097205346292,0.02810097205346293,0,0,4
93,90_045179,1990,UNITEDDAIRY,0.165,0,0.10741038882138516,0.027710388821385167,0,0,4
94,87_044859,1987,DEAN,0.1255,1,0.09052389767754963,0.02042389767754965,0,0,2
95,87_044859,1987,SUPERIOR,0.1327,0,0.09571730057219792,0.025617300572197924,0,0,2
96,88_044859,1988,DEAN,0.1286,1,0.0902980996068152,0.0236980996068152,0,0,3
97,88_044859,1988,BORDEN,0.13699999999999998,0,0.09619626474442987,0.029596264744429883,0,0,3
98,88_044859,1988,SUPERIOR,0.1391,0,0.09767080602883356,0.03107080602883354,0,0,3
99,89_044859,1989,DEAN,0.1415,0,0.0954317859952793,0.02463178599527929,0,0,2
100,89_044859,1989,BORDEN,0.1316,1,0.08875493312352478,0.01795493312352478,0,0,2
101,90_044859,1990,DEAN,0.1439,1,0.09367487849331713,0.013974878493317132,0,0,1
102,80_045625,1980,MEADOWGOLD,0.1219,1,0.1219,0.050099999999999985,0,0,2
103,80_045625,1980,SMITH,0.1246,0,0.1246,0.0528,0,0,2
104,81_045625,1981,MEADOWGOLD,0.126,1,0.114414406779661,0.037514406779661,0,0,2
105,81_045625,1981,SMITH,0.1265,0,0.1148684322033898,0.037968432203389815,0,0,2
106,82_045625,1982,MEADOWGOLD,0.121,1,0.10257238924050632,0.026572389240506308,0,0,1
107,83_045625,1983,MEADOWGOLD,0.1248,1,0.1010948402948403,0.0246948402948403,0,0,2
108,83_045625,1983,SMITH,0.1277,0,0.10344399924399926,0.02704399924399926,0,0,2
109,84_045625,1984,MEADOWGOLD,0.122,1,0.09541824817518248,0.02131824817518249,0,0,2
110,84_045625,1984,SMITH,0.1265,0,0.09893777372262774,0.024837773722627743,0,0,2
111,85_045625,1985,SMITH,0.1285,0,0.09709996473906912,0.02629996473906911,0,0,2
112,85_045625,1985,MEADOWGOLD,0.1284,1,0.09702440056417487,0.026224400564174882,0,0,2
113,86_045625,1986,MEADOWGOLD,0.125,1,0.0923388486728714,0.02233884867287141,0,0,2
114,86_045625,1986,SMITH,0.1265,0,0.09344691485694588,0.023446914856945875,0,0,2
115,87_045625,1987,MEADOWGOLD,0.1332,1,0.09607795355099294,0.025977953550992944,0,0,2
116,87_045625,1987,SMITH,0.1343,0,0.09687139010434197,0.026771390104341968,0,0,2
117,88_045625,1988,SMITH,0.1364,1,0.09577496723460026,0.02917496723460025,0,0,1
118,89_045625,1989,TOFTDAIRY,0.1365,1,0.09205963808025178,0.02125963808025177,0,0,2
119,89_045625,1989,SMITH,0.1444,0,0.09738763178599527,0.026587631785995283,0,0,2
120,80_044842,1980,DAIRYMENS,0.1095,1,0.1095,0.0377,0,0,3
121,80_044842,1980,HILLSIDE,0.14,0,0.14,0.06820000000000001,0,0,3
122,80_044842,1980,SMITH,0.1193,0,0.1193,0.0475,0,0,3
123,81_044842,1981,DAIRYMENS,0.1215,1,0.11032817796610167,0.033428177966101674,0,0,3
124,81_044842,1981,HILLSIDE,0.14,0,0.12712711864406778,0.05022711864406778,0,0,3
125,81_044842,1981,SMITH,0.1242,0,0.11277991525423728,0.03587991525423728,0,0,3
126,82_044842,1982,DAIRYMENS,0.1225,1,0.10384394778481013,0.027843947784810117,0,0,3
127,82_044842,1982,HILLSIDE,0.13,0,0.11020174050632912,0.03420174050632911,0,0,3
128,82_044842,1982,SMITH,0.1252,0,0.10613275316455696,0.03013275316455695,0,0,3
129,83_044842,1983,DAIRYMENS,0.1265,0,0.10247193347193348,0.026071933471933484,0,0,3
130,83_044842,1983,HILLSIDE,0.13,0,0.10530712530712533,0.028907125307125317,0,0,3
131,83_044842,1983,SMITH,0.1245,1,0.10085182385182384,0.02445182385182386,0,0,3
132,84_044842,1984,DAIRYMENS,0.128,0,0.1001109489051095,0.02601094890510951,0,0,3
133,84_044842,1984,HILLSIDE,0.13,0,0.10167518248175184,0.02757518248175184,0,0,3
134,84_044842,1984,SMITH,0.1258,1,0.09839029197080293,0.02429029197080293,0,0,3
135,85_044842,1985,DAIRYMENS,0.1245,1,0.0940773977433004,0.023277397743300413,0,0,3
136,85_044842,1985,HILLSIDE,0.135,0,0.10201163610719324,0.031211636107193224,0,0,3
137,85_044842,1985,SMITH,0.1358,0,0.10261614950634697,0.031816149506346966,0,0,3
138,86_044842,1986,DAIRYMENS,0.1225,1,0.090492071699414,0.020492071699413986,0,0,3
139,86_044842,1986,HILLSIDE,0.135,0,0.09972595656670112,0.029725956566701132,0,0,3
140,86_044842,1986,SMITH,0.1338,0,0.09883950361944156,0.028839503619441563,0,0,3
141,87_044842,1987,DAIRYMENS,0.129,1,0.09304846852911478,0.022948468529114783,0,0,2
142,87_044842,1987,SMITH,0.1383,0,0.09975661393470213,0.02965661393470212,0,0,2
143,88_044842,1988,DAIRYMENS,0.129,1,0.09057896461336827,0.02397896461336828,0,0,3
144,88_044842,1988,HILLSIDE,0.14,0,0.098302752293578,0.03170275229357798,0,0,3
145,88_044842,1988,SMITH,0.1364,0,0.09577496723460026,0.02917496723460025,0,0,3
146,89_044842,1989,DAIRYMENS,0.134,1,0.090373564122738,0.019573564122738,0,0,2
147,89_044842,1989,HILLSIDE,0.1495,0,0.10082722265932337,0.03002722265932337,0,0,2
148,90_044842,1990,DAIRYMENS,0.154,1,0.1002496962332928,0.020549696233292825,0,0,3
149,90_044842,1990,HILLSIDE,0.1695,0,0.1103397630619684,0.030639763061968407,0,0,3
150,90_044842,1990,SMITH,0.1549,0,0.10083557108140948,0.021135571081409482,0,0,3
151,85_044834,1985,REITER,0.11900000000000001,1,0.08992136812411848,0.01912136812411846,0,0,2
152,85_044834,1985,SUPERIOR,0.1277,0,0.09649545133991536,0.025695451339915368,0,0,2
153,86_044834,1986,REITER,0.12,1,0.08864529472595656,0.01864529472595655,0,0,3
154,86_044834,1986,HILLSIDE,0.1325,0,0.09787917959324373,0.027879179593243708,0,0,3
155,86_044834,1986,SUPERIOR,0.1277,0,0.09433336780420544,0.024333367804205447,0,0,3
156,87_044834,1987,REITER,0.1182,1,0.08525836418714237,0.015158364187142382,0,0,2
157,87_044834,1987,SUPERIOR,0.1316,0,0.09492386401884886,0.024823864018848868,0,0,2
158,88_044834,1988,REITER,0.1207,1,0.08475101572739188,0.018151015727391858,0,0,2
159,88_044834,1988,HILLSIDE,0.135,0,0.09479193971166447,0.02819193971166448,0,0,2
160,89_044834,1989,REITER,0.1352,1,0.0911828796223446,0.0203828796223446,0,0,2
161,89_044834,1989,HILLSIDE,0.14,0,0.09442014162077106,0.023620141620771057,0,0,2
162,81_045641,1981,BABCOCKDAIRY,0.1217,1,0.1105097881355932,0.033609788135593205,0,0,3
163,81_045641,1981,ARPSDAIRY,0.127,0,0.11532245762711862,0.03842245762711863,0,0,3
164,81_045641,1981,MEADOWGOLD,0.131,0,0.11895466101694915,0.04205466101694914,0,0,3
165,83_045641,1983,MEADOWGOLD,0.1171,1,0.09485741825741828,0.01845741825741827,0,0,3
166,83_045641,1983,ARPSDAIRY,0.127,0,0.10287696087696087,0.026476960876960887,0,0,3
167,83_045641,1983,BABCOCKDAIRY,0.124,0,0.10044679644679644,0.024046796446796456,0,0,3
168,84_045641,1984,MEADOWGOLD,0.11900000000000001,1,0.093071897810219,0.01897189781021899,0,0,2
169,85_045641,1985,MEADOWGOLD,0.1241,1,0.09377514104372353,0.022975141043723543,0,0,2
170,85_045641,1985,ARPSDAIRY,0.125,0,0.09445521861777152,0.023655218617771503,0,0,2
171,86_045641,1986,MEADOWGOLD,0.11900000000000001,1,0.08790658393657359,0.017906583936573586,0,0,2
172,86_045641,1986,ARPSDAIRY,0.12300000000000001,0,0.09086142709410548,0.020861427094105475,0,0,2
173,87_045641,1987,MEADOWGOLD,0.1226,1,0.08843211040053854,0.018332110400538545,0,0,3
174,87_045641,1987,ALLENDAIRY,0.149,0,0.10747458768091553,0.03737458768091552,0,0,3
175,87_045641,1987,ARPSDAIRY,0.138,0,0.09954022214742513,0.02944022214742512,0,0,3
176,88_045641,1988,MEADOWGOLD,0.12300000000000001,1,0.08636598951507209,0.01976598951507208,0,0,3
177,88_045641,1988,ALLENDAIRY,0.14300000000000002,0,0.10040923984272608,0.03380923984272606,0,0,3
178,88_045641,1988,ARPSDAIRY,0.136,0,0.0954941022280472,0.02889410222804718,0,0,3
179,89_045641,1989,MEADOWGOLD,0.147,0,0.0991411487018096,0.028341148701809593,0,0,3
180,89_045641,1989,ALLENDAIRY,0.133,1,0.0896991345397325,0.01889913453973249,0,0,3
181,89_045641,1989,ARPSDAIRY,0.146,0,0.09846671911880407,0.027666719118804084,0,0,3
182,90_045641,1990,ARPSDAIRY,0.157,0,0.10220261239368164,0.022502612393681648,0,0,4
183,90_045641,1990,ALLENDAIRY,0.153,1,0.09959872417982987,0.01989872417982988,0,0,4
184,90_045641,1990,BORDEN,0.1543,0,0.1004449878493317,0.02074498784933171,0,0,4
185,90_045641,1990,SMITH,0.161,0,0.1048065006075334,0.025106500607533416,0,0,4
186,88_047415,1988,REITER,0.1204,1,0.08454036697247706,0.017940366972477056,0,0,1
187,89_047415,1989,REITER,0.1241,1,0.08369671125098348,0.012896711250983477,0,0,1
188,90_047415,1990,REITER,0.1625,0,0.10578295868772783,0.026082958687727826,0,0,2
189,90_047415,1990,SMITH,0.1577,1,0.1026582928311057,0.022958292831105703,0,0,2
190,87_046409,1987,LOUISTRAUTH,0.1259,1,0.09081242006058568,0.020712420060585667,1,1,1
191,88_046409,1988,LOUISTRAUTH,0.129,1,0.09057896461336827,0.02397896461336828,1,1,1
192,89_046409,1989,LOUISTRAUTH,0.132,1,0.08902470495672699,0.018224704956726984,1,1,1
193,90_046409,1990,LOUISTRAUTH,0.16899999999999998,0,0.11001427703523692,0.03031427703523694,1,1,2
194,90_046409,1990,H.MEYER,0.1485,1,0.09666934993924664,0.016969349939246647,1,1,2
195,84_043869,1984,ARPSDAIRY,0.125,0,0.097764598540146,0.02366459854014599,0,0,3
196,84_043869,1984,DEFIANCEDAIRY,0.125,0,0.097764598540146,0.02366459854014599,0,0,3
197,84_043869,1984,MEADOWGOLD,0.122,1,0.09541824817518248,0.02131824817518249,0,0,3
198,85_043869,1985,ARPSDAIRY,0.125,0,0.09445521861777152,0.023655218617771503,0,0,4
199,85_043869,1985,DEFIANCEDAIRY,0.125,0,0.09445521861777152,0.023655218617771503,0,0,4
200,85_043869,1985,ALLENDAIRY,0.11900000000000001,1,0.08992136812411848,0.01912136812411846,0,0,4
201,85_043869,1985,MEADOWGOLD,0.121,0,0.0914326516220028,0.02063265162200281,0,0,4
202,86_043869,1986,ARPSDAIRY,0.12300000000000001,0,0.09086142709410548,0.020861427094105475,0,0,4
203,86_043869,1986,DEFIANCEDAIRY,0.12300000000000001,0,0.09086142709410548,0.020861427094105475,0,0,4
204,86_043869,1986,ALLENDAIRY,0.133,0,0.0982485349879352,0.02824853498793518,0,0,4
205,86_043869,1986,MEADOWGOLD,0.1193,1,0.08812819717338849,0.018128197173388483,0,0,4
206,87_043869,1987,ARPSDAIRY,0.136,0,0.09809761023224504,0.02799761023224505,0,0,3
207,87_043869,1987,DEFIANCEDAIRY,0.136,0,0.09809761023224504,0.02799761023224505,0,0,3
208,87_043869,1987,MEADOWGOLD,0.1332,1,0.09607795355099294,0.025977953550992944,0,0,3
209,88_043869,1988,ARPSDAIRY,0.136,0,0.0954941022280472,0.02889410222804718,0,0,4
210,88_043869,1988,DEFIANCEDAIRY,0.136,0,0.0954941022280472,0.02889410222804718,0,0,4
211,88_043869,1988,ALLENDAIRY,0.14400000000000002,0,0.10111140235910876,0.03451140235910877,0,0,4
212,88_043869,1988,MEADOWGOLD,0.129,1,0.09057896461336827,0.02397896461336828,0,0,4
213,81_043604,1981,BROUGHTON,0.1375,1,0.12485699152542372,0.047956991525423716,0,0,2
214,81_043604,1981,UNITEDDAIRY,0.14,0,0.12712711864406778,0.05022711864406778,0,0,2
215,82_043604,1982,BROUGHTON,0.1375,1,0.1165595332278481,0.040559533227848096,0,0,1
216,83_043604,1983,BROUGHTON,0.1375,1,0.1113825363825364,0.0349825363825364,0,0,3
217,83_043604,1983,UNITEDDAIRY,0.145,0,0.11745794745794745,0.04105794745794747,0,0,3
218,83_043604,1983,VALLEYBELL,0.1475,0,0.11948308448308448,0.0430830844830845,0,0,3
219,84_043604,1984,BROUGHTON,0.1375,1,0.1075410583941606,0.0334410583941606,0,0,2
220,84_043604,1984,VALLEYBELL,0.14,0,0.10949635036496352,0.035396350364963525,0,0,2
221,85_043604,1985,BROUGHTON,0.1425,1,0.10767894922425952,0.036878949224259515,0,0,2
222,85_043604,1985,VALLEYBELL,0.155,0,0.11712447108603664,0.046324471086036656,0,0,2
223,86_043604,1986,BROUGHTON,0.1425,1,0.1052662874870734,0.0352662874870734,0,0,2
224,86_043604,1986,VALLEYBELL,0.155,0,0.11450017235436055,0.04450017235436055,0,0,2
225,87_043604,1987,BROUGHTON,0.1425,1,0.10278609895658028,0.03268609895658027,0,0,1
226,88_043604,1988,BROUGHTON,0.15,1,0.10532437745740496,0.038724377457404965,0,0,1
227,89_043604,1989,BROUGHTON,0.1475,1,0.09947836349331236,0.02867836349331235,0,0,1
228,90_043604,1990,BROUGHTON,0.1558,1,0.10142144592952612,0.021721445929526115,0,0,2
229,90_043604,1990,VALLEYBELL,0.1601,0,0.10422062575941676,0.02452062575941676,0,0,2
230,81_043760,1981,MEADOWGOLD,0.127,1,0.11532245762711862,0.03842245762711863,0,0,1
231,83_043760,1983,DAIRYFARM,0.1185,1,0.095991494991495,0.019591494991495,0,0,2
232,83_043760,1983,MEADOWGOLD,0.122,0,0.09882668682668684,0.02242668682668683,0,0,2
233,84_043760,1984,UNITEDDAIRY,0.1285,1,0.10050200729927007,0.026402007299270086,0,0,2
234,84_043760,1984,MEADOWGOLD,0.1295,0,0.10128412408759126,0.027184124087591258,0,0,2
235,85_043760,1985,UNITEDDAIRY,0.1305,1,0.09861124823695347,0.027811248236953454,0,0,2
236,85_043760,1985,MEADOWGOLD,0.1315,0,0.09936688998589564,0.028566889985895624,0,0,2
237,86_043760,1986,MEADOWGOLD,0.1094,1,0.08081496035849707,0.010814960358497064,0,0,1
238,87_043760,1987,UNITEDDAIRY,0.1275,1,0.09196650959272973,0.02186650959272972,0,0,2
239,87_043760,1987,BORDEN,0.128,0,0.09232716257152472,0.02222716257152474,0,0,2
240,88_043760,1988,UNITEDDAIRY,0.129,1,0.09057896461336827,0.02397896461336828,0,0,1
241,89_043760,1989,UNITEDDAIRY,0.141,1,0.09509457120377654,0.024294571203776538,0,0,1
242,90_043760,1990,UNITEDDAIRY,0.156,1,0.1015516403402187,0.021851640340218702,0,0,1
243,80_050534,1980,SMITH,0.1235,0,0.1235,0.0517,0,0,2
244,80_050534,1980,SUPERIOR,0.1231,1,0.1231,0.0513,0,0,2
245,81_050534,1981,SMITH,0.129,1,0.11713855932203387,0.040238559322033886,0,0,1
246,82_050534,1982,SMITH,0.1247,1,0.10570890031645568,0.029708900316455688,0,0,2
247,82_050534,1982,SUPERIOR,0.1261,0,0.1068956882911392,0.03089568829113921,0,0,2
248,83_050534,1983,SMITH,0.1224,1,0.09915070875070876,0.022750708750708757,0,0,2
249,83_050534,1983,SUPERIOR,0.139,0,0.11259761859761863,0.03619761859761862,0,0,2
250,84_050534,1984,SMITH,0.129,1,0.10089306569343066,0.02679306569343066,0,0,2
251,84_050534,1984,SUPERIOR,0.1332,0,0.10417795620437957,0.030077956204379582,0,0,2
252,85_050534,1985,SMITH,0.128,1,0.09672214386459804,0.025922143864598027,0,0,2
253,85_050534,1985,SUPERIOR,0.1317,0,0.09951801833568406,0.028718018335684062,0,0,2
254,86_050534,1986,SMITH,0.128,1,0.09455498104102034,0.02455498104102033,0,0,3
255,86_050534,1986,REITER,0.145,0,0.10711306446053084,0.03711306446053084,0,0,3
256,86_050534,1986,SUPERIOR,0.1317,0,0.09728821096173734,0.027288210961737336,0,0,3
257,87_050534,1987,SMITH,0.1353,1,0.097592696061932,0.02749269606193201,0,0,3
258,87_050534,1987,REITER,0.145,0,0.10458936385055537,0.034489363850555364,0,0,3
259,87_050534,1987,SUPERIOR,0.1356,0,0.097809087849209,0.027709087849209016,0,0,3
260,88_050534,1988,SMITH,0.1354,1,0.09507280471821757,0.028472804718217545,0,0,2
261,88_050534,1988,REITER,0.145,0,0.10181356487549148,0.03521356487549146,0,0,2
262,89_050534,1989,SMITH,0.1414,1,0.09536434303697876,0.02456434303697876,0,0,2
263,89_050534,1989,REITER,0.159,0,0.10723430369787568,0.03643430369787569,0,0,2
264,90_050534,1990,SMITH,0.1535,1,0.09992421020656136,0.020224210206561358,0,0,1
265,80_043828,1980,MEADOWGOLD,0.1075,1,0.1075,0.0357,0,0,1
266,81_043828,1981,GOSHEN,0.1237,1,0.11232588983050848,0.03542588983050847,0,0,1
267,82_043828,1982,MEADOWGOLD,0.1125,1,0.0953668908227848,0.0193668908227848,0,0,4
268,82_043828,1982,GOSHEN,0.1226,0,0.10392871835443036,0.027928718354430362,0,0,4
269,82_043828,1982,SMITH,0.128,0,0.10850632911392404,0.03250632911392404,0,0,4
270,82_043828,1982,SUPERIOR,0.1271,0,0.10774339398734176,0.031743393987341766,0,0,4
271,83_043828,1983,MEADOWGOLD,0.1185,1,0.095991494991495,0.019591494991495,0,0,4
272,83_043828,1983,GOSHEN,0.124,0,0.10044679644679644,0.024046796446796456,0,0,4
273,83_043828,1983,SMITH,0.1315,0,0.10652220752220752,0.03012220752220754,0,0,4
274,83_043828,1983,SUPERIOR,0.139,0,0.11259761859761863,0.03619761859761862,0,0,4
275,84_043828,1984,MEADOWGOLD,0.12,1,0.09385401459854016,0.01975401459854015,0,0,4
276,84_043828,1984,GOSHEN,0.1255,0,0.09815565693430657,0.024055656934306585,0,0,4
277,84_043828,1984,SMITH,0.1285,0,0.10050200729927007,0.026402007299270086,0,0,4
278,84_043828,1984,SUPERIOR,0.1292,0,0.10104948905109493,0.026949489051094917,0,0,4
279,85_043828,1985,GOSHEN,0.1222,1,0.09233942172073342,0.02153942172073342,0,0,4
280,85_043828,1985,MEADOWGOLD,0.1235,0,0.09332175599435824,0.02252175599435824,0,0,4
281,85_043828,1985,SMITH,0.1285,0,0.09709996473906912,0.02629996473906911,0,0,4
282,85_043828,1985,SUPERIOR,0.1277,0,0.09649545133991536,0.025695451339915368,0,0,4
